Name;Preis pro Nacht;Datum
Schöne Wohnung im Herzen von Herisau bis 4 Gäste;152 CHF;09.10.2025 - 19.10.2025
Leimathof Attica;187 CHF;09.10.2025 - 19.10.2025
Schönes Einzelzimmer, zentral;34 CHF;09.10.2025 - 19.10.2025
Möbliertes Studio mit Garten W5;61 CHF;09.10.2025 - 19.10.2025
Charmante Altbauwohnung ruhig und doch zentral;93 CHF;09.10.2025 - 19.10.2025
Gemütliche Wohnung im Zentrum von St. Gallen;78 CHF;09.10.2025 - 19.10.2025
Zur Geduld (direkt am Bahnhof);69 CHF;09.10.2025 - 19.10.2025
Olma / Stadtzentrum / Cosy;126 CHF;09.10.2025 - 19.10.2025
Einzigartige schöne Altbau- Wohnung im Zentrum;116 CHF;09.10.2025 - 19.10.2025
Gemütliche Altbauwohnung im Zentrum;95 CHF;09.10.2025 - 19.10.2025
Gemütliche Wohnung;70 CHF;09.10.2025 - 19.10.2025
Poliba St.Gallen-3 1/2 zimmer wohnung;47 CHF;09.10.2025 - 19.10.2025
Charmante Ferienwohnung 2 Zimmer W43;78 CHF;09.10.2025 - 19.10.2025
Schönes Zimmer in der Nähe von HSG;64 CHF;09.10.2025 - 19.10.2025
Eigene Studiowohnung mit Küche;72 CHF;09.10.2025 - 19.10.2025
Dein Zuhause in Herisau;104 CHF;09.10.2025 - 19.10.2025
Studio mit Panoramaaussicht;58 CHF;09.10.2025 - 19.10.2025
2. Modernes Apartment 2 Min vom Bahnhof;149 CHF;09.10.2025 - 19.10.2025
heimelige Wohnung in Goldach;67 CHF;09.10.2025 - 19.10.2025
Zeit;64 CHF;09.10.2025 - 19.10.2025
gemütliches Studio im EG, im Appenzellerland;60 CHF;09.10.2025 - 19.10.2025
Das Haus mit dem Schwein;54 CHF;09.10.2025 - 19.10.2025
Helle Wohnung über St.Gallen;100 CHF;09.10.2025 - 19.10.2025
Schöne Wohnung im Herzen von Herisau bis 6 Gäste;188 CHF;09.10.2025 - 19.10.2025
Studio mit Charme und Aussicht;58 CHF;09.10.2025 - 19.10.2025
Bijoux Ferienwohnung auf Bauernhof im Wald;85 CHF;09.10.2025 - 19.10.2025
Idyllische Wohnung in der Natur;141 CHF;09.10.2025 - 19.10.2025
Schöne 2 1/2 Zimmer Dachwohnung;99 CHF;09.10.2025 - 19.10.2025
Charmante Wohnung im Zentrum von Goldach;70 CHF;09.10.2025 - 19.10.2025
gemütliches Zimmer mit Privatsphäre;43 CHF;09.10.2025 - 19.10.2025
Schöne Wohnung im Herzen von Herisau bis 4 Gäste;261 CHF;26.06.2025 - 29.06.2025
Leimathof Attica;264 CHF;26.06.2025 - 29.06.2025
Schönes Einzelzimmer, zentral;35 CHF;26.06.2025 - 29.06.2025
Schönes Zimmer in der Nähe von HSG;71 CHF;26.06.2025 - 29.06.2025
Zimmer mit separater Dusche;44 CHF;26.06.2025 - 29.06.2025
Bijoux Ferienwohnung auf Bauernhof im Wald;100 CHF;26.06.2025 - 29.06.2025
Histor. grossbürgerl. Wohnhaus, ruhige Lage;55 CHF;26.06.2025 - 29.06.2025
gemütliches Studio im EG, im Appenzellerland;72 CHF;26.06.2025 - 29.06.2025
winzige Wohnung;118 CHF;26.06.2025 - 29.06.2025
Zimmer sehr zentral in Jugendstilwohnung;79 CHF;26.06.2025 - 29.06.2025
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;88 CHF;26.06.2025 - 29.06.2025
heimelige Wohnung in Goldach;95 CHF;26.06.2025 - 29.06.2025
Schöne 2 1/2 Zimmer Dachwohnung;139 CHF;26.06.2025 - 29.06.2025
Ferienwohnung Rotenwies;169 CHF;26.06.2025 - 29.06.2025
gemütliches Zimmer mit Privatsphäre;45 CHF;26.06.2025 - 29.06.2025
Grosszügige Garten-Wohnung;210 CHF;26.06.2025 - 29.06.2025
Charmante Wohnung im Zentrum von Goldach;101 CHF;26.06.2025 - 29.06.2025
Ferienwohnung Rietbach;106 CHF;26.06.2025 - 29.06.2025
Laddaswisshouse;140 CHF;26.06.2025 - 29.06.2025
Dein Zuhause in Herisau;184 CHF;26.06.2025 - 29.06.2025
Sönd willkomm z 'Herisau! Zentral, neu, stillvoll;110 CHF;26.06.2025 - 29.06.2025
Schöne Wohnung im Herzen von Herisau bis 6 Gäste;380 CHF;26.06.2025 - 29.06.2025
Charmante und zentrale Wohnung am Weiherpark Arbon;211 CHF;26.06.2025 - 29.06.2025
spezielle Wohnung in Goldach;99 CHF;26.06.2025 - 29.06.2025
Appartement im Grünen;111 CHF;26.06.2025 - 29.06.2025
Birkenhof, Haus Märli;587 CHF;26.06.2025 - 29.06.2025
Attikawohnung in Arbon am See;184 CHF;26.06.2025 - 29.06.2025
In der Natur auftanken;45 CHF;26.06.2025 - 29.06.2025
Moderne, helle Ferienwohnung mit gratis Parkplatz;119 CHF;26.06.2025 - 29.06.2025
Herisau, Zuhause mittendrin und trotzdem ruhig;58 CHF;26.06.2025 - 29.06.2025
