party,occupation_1,count_1,occupation_2,count_2,occupation_3,count_3,occupation_4,count_4,occupation_5,count_5
CSU,Rechtsanwältin,6,Rechtsanwalt,6,Jurist,4,Student,4,Landwirt,2
SPD,Student,16,Studentin,11,Geschäftsführer,9,Rechtsanwalt,8,Angestellter,8
GRÜNE,Student,13,Studentin,12,Lehrerin,8,Lehrer,4,Ingenieur,4
FDP,Student,16,Geschäftsführer,13,Unternehmer,13,Rechtsanwalt,10,Rechtsanwältin,6
AfD,Rechtsanwalt,9,Angestellter,7,Dipl.-Kaufmann,6,Unternehmer,5,Kaufmann,3
Freie Wähler,selbständig,10,Unternehmer,9,Rentnerin,6,Student,6,Kaufmann,5
Die Linke,Student,9,Sozialarbeiterin,8,Studentin,6,Gewerkschaftssekretär,4,Politikwissenschaftlerin,3
dieBasis,Rentner,4,selbständig,2,Softwareentwickler,2,Angestellte im Gesundheitswesen,1,Biologin,1
Tierschutzpartei,Rentnerin,6,Rentner,3,Student,3,Tierärztin,2,Industriekauffrau,2
Die PARTEI,Angestellter,10,Student,9,Rentner,4,Studentin,4,Softwareentwicklerin,3
ÖDP,Rentnerin,2,Winzer,2,Ingenieur,2,Dipl.-Kaufmann,1,Referendarin Lehramt Grundschule,1
BP,Dipl.-Ingenieur,1,Bäcker,1,Fahrschulleiter,1,Lehrer,1,Kriminalhauptkommissar a. D.,1
Volt,Student,12,Studentin,8,Angestellter,5,Projektmanager,4,Projektmanagerin,3
PdH,Student,4,Softwareentwickler,3,Biologe,2,akad. Sprachtherapeutin,1,Psychologe,1
MLPD,Rentnerin,12,Rentner,6,Lehrerin,6,Bürokauffrau,4,Student,3
BÜNDNIS DEUTSCHLAND,selbständig,6,Geschäftsführer,4,Unternehmer,4,Versicherungsfachmann,2,Arzthelferin,2
BSW,Lehrer,6,Angestellter,4,Rentnerin,4,Lehrerin,3,Gewerkschaftssekretär,3
CDU,Rechtsanwalt,19,Geschäftsführer,13,Jurist,11,selbständig,10,Studentin,8
Die Gerechtigkeitspartei – Team Todenhöfer,Publizist,1,Facility-Managerin,1,Steuerberater,1,Managerin,1,pädagogischer Mitarbeiter,1
BüSo,Angestellter,2,Journalistin,1,Journalist,1,Arzt,1,kaufm. Angestellter,1
SGP,Psychologe,1,Journalist,1,,0,,0,,0
MERA25,Student,3,Softwareentwickler,2,Habilitandin,1,Wirtschaftsingenieur,1,Rechtswissenschaftlerin (LL. M.),1
PdF,selbständig,1,Vertriebsleiter,1,Freischaffend,1,,0,,0
GRÜNE/B 90,Völkerrechtlerin,1,Physikerin,1,Studentin,1,Projektmanagerin,1,Praktikant,1
MENSCHLICHE WELT,Redakteur,1,Schulbegleiter,1,,0,,0,,0
Verjüngungsforschung,Studentin,1,Software Consultant,1,Rentnerin,1,Physiker,1,Sicherheitsfachkraft,1
Bündnis C,Account Manager IT,1,Allgemeinmediziner i. R.,1,Program Manager,1,ev. Pfarrer i. R.,1,Werkzeugmechaniker,1
PIRATEN,Student,2,Softwareentwickler,2,Industriekaufmann,1,Krankenpfleger,1,Schüler,1
SSW,Studentin,2,freier Journalist,1,Sachbearbeiterin,1,Finanzanlagenvermittler,1,Dipl.-Pädagogin (Erziehungswissenschaftlerin),1
